OBJECTID,Station_ID,Feature_Origin,Notes,Mode_Observation,Slip_Sense,Scarp_Facing_Direction,Local_Fault_Dip,Local_Fault_Azimuth_Degrees,Slip_Azimuth,Fault_Slip_Measurement_Type,Heave_cm,Heave_min_cm,Heave_max_cm,Rupture_Expression,Rupture_Width_m,Rupture_Width_Min_m,Rupture_Width_Max_m,VM_Slip_Azimuth,Plunge,Net_Slip_Preferred_cm,Net_Slip_Min_cm,Net_Slip_Max_cm,Vector_Offset_Feature_Notes,Horizontal_Separation_cm,Horizontal_Separation_Min_cm,Horizontal_Separation_Max_cm,Vertical_Separation_cm,Vertical_Separation_Min_cm,Vertical_Separation_Max_cm,Slip_Offset_Feature_Notes,GlobalID,CreationDate,Creator,EditDate,Editor,fault_az_min_L,fault_az_max_L,fault_dip_min_L,fault_dip_max_L,local_frac_az_min_L,local_frac_az_max_L,striations_observed_L,gouge_observed_L,vect_plunge_min_L,vect_plunge_max_L,vect_az_min_L,vect_az_max_L,horiz_az_min_L,horiz_az_max_L,_Compiler_Note,_aperture_max,_aperture_min,_aperture_pref,_citation,_feature_type,_heave_type,_latitude,_longitude,_obs_affiliation,_obs_position,_observed_feature,_orig_lat,_orig_lon,_source,_team,_team_id,_vert_slip_type
33,27,Tectonic,Source: Ridgecrest 2019; New rupture 7.1; from B. Brooks: 30 cm right-lateral,,Right,,,,,Separation,,,,,,,,,,,,,,30.0,,,,,,,,2019-07-05T20:54:11-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,,,35.64899621,-117.4824,UNR,At Site,,35.64899621,-117.4824,7.1,"B. Brooks/USGS
I. Pierce/UNR",'07/05-6',
34,354,Tectonic,Source: Ridgecrest 2019; Rupture on two parallel fault strands,,Right,,,,,,,,,,0.400000006,,,,,,,,,20.0,,,,,,,,2019-07-06T00:00:00-07,R. Gold,,,,,,,,,,,,,,,,,Observation time not reported,,,,,,,35.59021499,-117.416589,USGS,At Site,,35.59021499,-117.416589,7.1,"J. Delano/USGS
C. DuRoss/USGS
R. Gold/USGS
J. Thompson Jobe/USGS",'07/06-3',
35,357-RUPTURE,Tectonic,Source: Ridgecrest 2019; Rupture across railroad,,Right,,,,,Separation,,,,,,,,,,,,,,50.0,45.0,55.0,,,,,,2019-07-06T00:00:00-07,R. Gold,,,,,,,,,,,,,,,,,Observation time not reported,,,,,Cultural,,35.59643403,-117.402262,USGS,At Site,Railroad,35.59643403,-117.402262,7.1,"J. Delano/USGS
C. DuRoss/USGS
R. Gold/USGS
J. Thompson Jobe/USGS",'07/06-3',
36,353,Tectonic,Source: Ridgecrest 2019; Rupture across Pinnacles Rd,,Right,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,2019-07-06T00:00:00-07,R. Gold,,,,,,,,,,,,,,,,,Observation time not reported,,,,,Cultural,,35.590087,-117.41651,USGS,At Site,Road,35.590087,-117.41651,7.1,"J. Delano/USGS
C. DuRoss/USGS
R. Gold/USGS
J. Thompson Jobe/USGS",'07/06-3',
37,357-RAILRD,Tectonic,Source: Ridgecrest 2019; Rupture across Pinnacles Rd. 2 primary strands,,Right,,,,,Separation,,,,,2.0,,,,,,,,,105.0,95.0,115.0,,,,,,2019-07-06T00:00:00-07,R. Gold,,,,,,,,,,,,,,,,,Observation time not reported,,,,,Cultural,,35.59434601,-117.40051,USGS,At Site,Road,35.59434601,-117.40051,7.1,"J. Delano/USGS
C. DuRoss/USGS
R. Gold/USGS
J. Thompson Jobe/USGS",'07/06-3',
38,355,Tectonic,Source: Ridgecrest 2019; Multiple strands of rupture,,Right,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,2019-07-06T00:00:00-07,R. Gold,,,,,,,,,,,,,,,,,Observation time not reported,,,,,,,35.59482101,-117.420485,USGS,At Site,,35.59482101,-117.420485,7.1,"J. Delano/USGS
C. DuRoss/USGS
R. Gold/USGS
J. Thompson Jobe/USGS",'07/06-3',
39,356,Tectonic,Source: Ridgecrest 2019; Minor rupture,,Right,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,2019-07-06T00:00:00-07,R. Gold,,,,,,,,,,,,,,,,,Observation time not reported,,,,,,,35.59619397,-117.421866,USGS,At Site,,35.59619397,-117.421866,7.1,"J. Delano/USGS
C. DuRoss/USGS
R. Gold/USGS
J. Thompson Jobe/USGS",'07/06-3',
40,335-TRC,Tectonic,Source: Ridgecrest 2019; Rupture with minor graben,,Right,,,,,,,,,,,,,,,,,,,,10.0,20.0,,,,,,2019-07-06T00:00:00-07,R. Gold,,,,,,,,,,,,,,,,,Observation time not reported,,,,,,,35.59095302,-117.417155,USGS,At Site,,35.59095302,-117.417155,7.1,"J. Delano/USGS
C. DuRoss/USGS
R. Gold/USGS
J. Thompson Jobe/USGS",'07/06-3',
41,Placemark 28,Tectonic,"Source: Ridgecrest 2019; Fissure 70 cm wide, 60 cm deep, approx 50 m long. Station number 70 was also used for a point further south see below
20 cm vertical scarp west of 114",,Normal,,,,,,70.0,,,Crack(s),,,,,,,,,,,,,20.0,,,,,2019-07-06T07:43:29-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,,Extension,35.6156344,-117.4212437,UNR,At Site,,35.6156344,-117.4212437,7.1,"B. Brooks/USGS
T. Ericksen/USGS
I. Pierce/UNR",'07/06-1',Separation
42,Placemark 28,Tectonic,"Source: Ridgecrest 2019; Beach berm pit SL-02 
Surface breaks in line with point 70, 3 in deep, 1 ft wide",,,,,,,,30.47999954,,,,,,,,,,,,,,,,,,,,,2019-07-06T07:43:29-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,,Extension,35.5712617,-117.3723957,UNR,At Site,,35.5712617,-117.3723957,7.1,"B. Brooks/USGS
T. Ericksen/USGS
I. Pierce/UNR",'07/06-1',
43,"Placemark 28, 92",Tectonic,"Source: Ridgecrest 2019; Outcrop of fault cutting wash margin, wash margin offset 70 cm to 1 m, wash floor up on east along mole track about 1 ft.",,Right - Normal ,West,,,,Separation,,,,Mole track,,,,,,,,,,70.0,60.0,100.0,30.0,,,,,2019-07-06T07:43:29-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,Natural,,35.58260442,-117.3845245,UNR,At Site,Wash margin,35.58260442,-117.3845245,7.1,"B. Brooks/USGS
T. Ericksen/USGS
I. Pierce/UNR",'07/06-1',Separation
44,Placemark 28,Tectonic,Source: Ridgecrest 2019; Left stepping en echelon fissures and pressure mounds along moletrack nw of offset road.  Fissures are 60 cm wide x up to 30 cm deep. ,,Right,,,,,,60.0,,,En echelon,,,,,,,,,,,,,,,,,,2019-07-06T07:43:29-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,,Extension,35.59769779,-117.4033076,UNR,At Site,,35.59769779,-117.4033076,7.1,"B. Brooks/USGS
T. Ericksen/USGS
I. Pierce/UNR",'07/06-1',
45,Placemark 28,Tectonic,"Source: Ridgecrest 2019; Channel offset, SE channel margin. Right-lateral offset of channel",,Right,,,,,Separation,,,,,,,,,,,,,,110.0,90.0,130.0,,,,,,2019-07-06T07:43:29-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,Natural,,35.61763072,-117.4238147,UNR,At Site,Channel,35.61763072,-117.4238147,7.1,"B. Brooks/USGS
T. Ericksen/USGS
I. Pierce/UNR",'07/06-1',
46,Placemark 28,Tectonic,Source: Ridgecrest 2019; Left stepping en echelon cracks.  Small graben extends along active wash/fan contact at base of vertical scarp. 2.5 ft vertical scarp along margin of wash,,Right,West,,,,,,,,En echelon,,,,,,,,,,,,,60.0,55.0,65.0,,,2019-07-06T07:43:29-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,Natural,,35.61451525,-117.4199734,UNR,At Site,Wash,35.61451525,-117.4199734,7.1,"B. Brooks/USGS
T. Ericksen/USGS
I. Pierce/UNR",'07/06-1',Separation
47,Placemark 28,Tectonic,"Source: Ridgecrest 2019; Right offset dirt road.  Photo 214 view sw showing offset.  Photo 215 and 216 view northwest of moletrack at road offset.  Moletrack extends across alluvial fan. Moletrack oriented N27W.  Width of zone ~20 m.  Open fissures in road ~60 cm wide.  Road offset on main trace ~75 cm
",,Right,,,,,Separation,60.0,,,Mole track,20.0,,,,,,,,,75.0,65.0,85.0,,,,,,2019-07-06T07:43:29-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,Cultural,Extension,35.59620277,-117.4026526,UNR,At Site,Dirt Road,35.59620277,-117.4026526,7.1,"B. Brooks/USGS
T. Ericksen/USGS
I. Pierce/UNR",'07/06-1',
48,Observation 31,Tectonic,Source: Ridgecrest 2019; Left-lateral offset across road; 1.8 ft; 30 ft wide zone; 0.9 to 1.1 ft vertical,,Left,,,,,,,,,,9.0,,,,,,,,,55.0,,,,27.39999962,33.5,,,2019-07-06T08:52:00-07,C. Hitchcock,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.61821182,-117.5727574,InfraTerra,At Site,Road,35.61821182,-117.5727574,6.4,"C. Hitchcock/InfraTerra
O. Kozaci/InfraTerra
C. Madugo/PG&E",'07/06-6',Separation
49,Fault 45,Tectonic,Source: Ridgecrest 2019; 19 inch left-lateral offset along north margin of road,,Left,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,2019-07-06T08:56:39-07,O. Kozaci,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.61823028,-117.5726949,InfraTerra,At Site,Road edge,35.61823028,-117.5726949,6.4,"C. Hitchcock/InfraTerra
O. Kozaci/InfraTerra
C. Madugo/PG&E",'07/06-6',
50,Observation 32,Tectonic,Source: Ridgecrest 2019; 0.6 ft left-lateral offset of road,,Left,,,,,,,,,,,,,,,,,,,18.29999924,,,,,,,,2019-07-06T08:58:00-07,C. Hitchcock,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.61824922,-117.573453,InfraTerra,At Site,Road,35.61824922,-117.573453,6.4,"C. Hitchcock/InfraTerra
O. Kozaci/InfraTerra
C. Madugo/PG&E",'07/06-6',
51,35,Tectonic,Source: Ridgecrest 2019; Scarp and right laterally offset dirt road. Distributed cracking also extends across road at top of wash cut.  Road offset is at least 60 cm on the main trace but offset is distributed across a zone ~30 m wide and total offset is about 1.2 m.,,Right,,,,,Separation,,,,Scarp,30.0,,,,,,,,,120.0,60.0,130.0,,,,,,2019-07-06T09:12:56-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.58203476,-117.3833951,UNR,At Site,Dirt road,35.58203476,-117.3833951,7.1,"B. Brooks/USGS
T. Ericksen/USGS
I. Pierce/UNR",'07/06-1',
