CreationDate,Creator,Date_of_Movement,EditDate,Editor,Fault_Slip_Measurement_Type,Feature_Origin,GlobalID,Heave_cm,Heave_max_cm,Heave_min_cm,Horizontal_Separation_Max_cm,Horizontal_Separation_Min_cm,Horizontal_Separation_cm,Local_Fault_Azimuth_Degrees,Local_Fault_Dip,Mode_Observation,Net_Slip_Max_cm,Net_Slip_Min_cm,Net_Slip_Preferred_cm,Notes,OBJECTID,Plunge,Rupture_Expression,Rupture_Width_Max_m,Rupture_Width_Min_m,Rupture_Width_m,Scarp_Facing_Direction,Slip_Azimuth,Slip_Offset_Feature_Notes,Slip_Sense,Station_ID,VM_Slip_Azimuth,Vector_Offset_Feature_Notes,Vertical_Separation_Max_cm,Vertical_Separation_Min_cm,Vertical_Separation_cm,_Compiler_Note,_aperture_max,_aperture_min,_aperture_pref,_citation,_comp_offset,_feature_type,_heave_type,_latitude,_longitude,_obs_affiliation,_obs_position,_observed_feature,_orig_lat,_orig_lon,_photo,_source,_team,_team_id,_trace,_vert_slip_type
,Hoirup/Hitchcock,2014:09:10,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; Fault rupture.,11,,,,,,,,,,11.0,,,,,,,,,,,,,,38.22024316,-122.3095115,,,Soil,38.22023773,-122.3095016,Y,,,,A,
,Hoirup/Hitchcock,2014:09:10,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; Water at fault?,12,,,,,,,,,,12.0,,,,,,,,,,,,,,38.22032932,-122.3095359,,,Soil,38.22032547,-122.3095245,Y,,,,A,
,Hoirup/Hitchcock,2014:09:10,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,13,,,,,,,,,,13.0,,,,,,,,,,,,,,38.22050242,-122.3096156,,,Soil,38.22049713,-122.3096008,Y,,,,A,
,Dawson/Davenport,2014:08:24,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,14,,,,,,,,,,14.0,,,,,,,,,,,,,,38.22510638,-122.3122798,,,Soil,38.22517776,-122.3123245,Y,,,,A,
,Dawson/Davenport,2014:08:24,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; Rupture through gravel lot.,15,,,,,,,,,,15.0,,,,,,,,,,,,,,38.22539943,-122.3124133,,,Soil,38.22532272,-122.3124237,Y,,,,A,
,Dawson/Davenport,2014:08:24,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,16,,,,,,,,,,16.0,,,,,,,,,,,,,,38.22585247,-122.3125871,,,Soil,38.22583389,-122.312561,Y,,,,A,
,Dawson/Davenport,2014:08:24,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,17,,,,,,,,,,17.0,,,,,,,,,,,,,,38.22617131,-122.3127392,,,Soil,38.22616577,-122.3127289,Y,,,,A,
,Lutz,2014:09:02,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; 3.5- to 4.5-m-wide zone of left-stepping en echelon transtensional fractures.,18,,,,,,,,,RL,18.0,,,,,,,,,,,,,,38.22843959,-122.3137076,,,Soil,38.22843552,-122.3136902,N,,,,A,
,Lutz,2014:09:02,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; 1.5-m-wide zone of left-stepping en echelon transtensional fractures.,19,,,,,,,,,RL,19.0,,,,,,,,,,,,,,38.22864888,-122.3138314,,,Soil,38.22864151,-122.3138199,N,,,,A,
,Lutz,2014:09:02,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; 3.5- to 4.5-m-wide zone of left-stepping en echelon transtensional fractures.,20,,,,,,,,,RL,20.0,,,,,,,,,,,,,,38.22898219,-122.3139476,,,Soil,38.2289772,-122.3139343,N,,,,A,
,Lutz,2014:09:02,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; 3-m-wide zone of left-stepping en echelon transtensional fractures.,21,,,,,,,,,RL,21.0,,,,,,,,,,,,,,38.2291113,-122.3139926,,,Soil,38.2291069,-122.3139954,N,,,,A,
,Lutz,2014:09:02,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; 1.5-m-wide zone of left-stepping en echelon transtensional fractures.,22,,,,,,,,,RL,22.0,,,,,,,,,,,,,,38.22930263,-122.3140925,,,Soil,38.22929764,-122.3140793,N,,,,A,
,Lutz,2014:09:16,,,,Tectonic,,>1.9,,,,,>10.5,345,,,,,,Source: Napa 2014; 3-m-wide zone of left-stepping en echelon transtensional fractures: slip vector length is 0.35 ft along 355 bearing. Average fault azimuth is 345. Slip measurement is minimum value.,23,,,,,,,,,RL,23.0,,,,,,,,,,,,,,38.22946063,-122.3141524,,,Soil,38.22945404,-122.3141479,Y,,,,A,
,Lutz,2014:09:02,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; 1.5-m-wide zone of left-stepping en echelon transtensional fractures.,24,,,,,,,,,RL,24.0,,,,,,,,,,,,,,38.22959996,-122.3142271,,,Soil,38.22959518,-122.314209,N,,,,A,
,Lutz,2014:09:02,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; Left-stepping en echelon transtensional fractures.,25,,,,,,,,,RL,25.0,,,,,,,,,,,,,,38.22976256,-122.3143222,,,Soil,38.22975159,-122.3143005,N,,,,A,
,Lutz,2014:09:02,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; Left-stepping en echelon transtensional fractures.,26,,,,,,,,,RL,26.0,,,,,,,,,,,,,,38.22993584,-122.3144102,,,Soil,38.22993088,-122.3143921,N,,,,A,
,Lutz,2014:09:02,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; 4.5- to 6-m-wide zone of left-stepping en echelon transtensional fractures.,27,,,,,,,,,RL,27.0,,,,,,,,,,,,,,38.23008841,-122.3145144,,,Soil,38.23008347,-122.3144989,N,,,,A,
,Lutz,2014:09:02,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; 1.5-m-wide zone of left-stepping en echelon transtensional fractures.,28,,,,,,,,,RL,28.0,,,,,,,,,,,,,,38.2302108,-122.3145757,,,Soil,38.23020554,-122.3145599,N,,,,A,
,Lutz,2014:09:16,,,,Tectonic,,>1.5,,,,,>16.7,345,,,,,,Source: Napa 2014; 1.5- to 3-m-wide zone of left-stepping en echelon transtensional fractures: slip vector length was 0.55 ft along 350 bearing. Average fault azimuth was 345.,29,,,,,,,,,RL,29.0,,,,,,,,,,,,,,38.23037486,-122.3146565,,,Soil,38.23036957,-122.3146439,Y,,,,A,
,Lutz,2014:09:02,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; 4.5-m-wide zone of left-stepping en echelon transtensional fractures.,30,,,,,,,,,RL,30.0,,,,,,,,,,,,,,38.23052984,-122.3147216,,,Soil,38.23052216,-122.3147049,N,,,,A,
,Lutz,2014:09:02,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; 6-m-wide zone of left-stepping en echelon transtensional fractures.,31,,,,,,,,,RL,31.0,,,,,,,,,,,,,,38.23067205,-122.3148277,,,Soil,38.23066711,-122.3148041,N,,,,A,
,Lutz,2014:09:02,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; 1.5-m-wide zone of left-stepping en echelon transtensional fractures.,32,,,,,,,,,RL,32.0,,,,,,,,,,,,,,38.23082439,-122.3149072,,,Soil,38.2308197,-122.3149033,N,,,,A,
,Lutz,2014:09:02,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; 1.5- to 3-m-wide zone of left-stepping en echelon transtensional fractures.,33,,,,,,,,,RL,33.0,,,,,,,,,,,,,,38.23098145,-122.3149746,,,Soil,38.2309761,-122.3149643,N,,,,A,
,Lutz,2014:09:16,,,,Tectonic,,>0.5,,,,,>6,345,,,,,,Source: Napa 2014; 1.5-m-wide zone of left-stepping en echelon transtensional fractures: slip vector length was 0.2 ft. along 350 bearing. Average fault azimuth was 345. Slip measurement is minimum value.,34,,,,,,,,,RL,34.0,,,,,,,,,,,,,,38.23101925,-122.3149922,,,Soil,38.23101425,-122.3149796,Y,,,,A,
,Lutz,2014:09:16,,,,Tectonic,,>0.6,,,,,>7.6,345,,,,,,Source: Napa 2014; 1.5-m-wide zone of left-stepping en echelon transtensional fractures: slip vector length was 0.25 ft. along 350 bearing. Average fault strike was 345. Slip measurement is minimum value.,35,,,,,,,,,RL,35.0,,,,,,,,,,,,,,38.23119909,-122.3150673,,,Soil,38.23119354,-122.3150558,Y,,,,A,
,Lutz,2014:09:02,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; 5-m-wide zone of left-stepping en echelon transtensional fractures.,36,,,,,,,,,RL,36.0,,,,,,,,,,,,,,38.23127793,-122.3150979,,,Soil,38.23127365,-122.315094,N,,,,A,
,Lutz,2014:09:02,,,,Tectonic,,,,,,,>7.6,345,,,,,,Source: Napa 2014; 1-m-wide zone of left-stepping en echelon transtensional fractures: slip vector length was 0.25 ft. along 345 bearing. Average fault strike was 345. Slip measurement is a minimum value.,37,,,,,,,,,RL,37.0,,,,,,,,,,,,,,38.2313699,-122.315146,,,Soil,38.2313652,-122.3151321,N,,,,A,
,Lutz,2014:09:02,,,,Tectonic,,>0.6,,,,,>7.6,345,,,,,,Source: Napa 2014; 1.5-m-wide zone of left-stepping en echelon transtensional fractures: slip vector length was 0.25 ft. along 350 bearing. Average fault strike was 345. Slip measurement is a minimum value.,38,,,,,,,,,RL,38.0,,,,,,,,,,,,,,38.23146297,-122.315185,,,Soil,38.23145676,-122.3151779,N,,,,A,
,Dawson,2014:09:01,,,,Tectonic,,,,,,,13-19*,355,,,,,,Source: Napa 2014; 13-19 cm right-lateral. Fault about 355 degrees.,39,,,,,,,,,RL,39.0,,,,,,,,,,,,,,38.23198987,-122.3153994,,,Soil,38.23197937,-122.3153992,Y,,,,A,
,Dawson,2014:09:01,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,40,,,,,,,,,,40.0,,,,,,,,,,,,,,38.23224024,-122.3154823,,,Soil,38.23224258,-122.3155136,Y,,,,A,
,Lutz,2014:09:16,,,,Tectonic,,>1.1,,,,,>12.7,345,,,,,,Source: Napa 2014; 1.5-m-wide zone of left-stepping en echelon transtensional fractures: slip vector length was 0.42 ft. along 350 bearing. Average fault strike was 345. Vertical component was 0.06 ft west-up. Slip measurement is a minimum value.,41,,,,,,W,,,RL,41.0,,,,,1.8,,,,,,,,,38.23237888,-122.3155654,,,Soil,38.23238373,-122.3155518,Y,,,,A,
,Lutz,2014:09:02,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; 5-m-wide zone of left-stepping en echelon transtensional fractures.,42,,,,,,,,,RL,42.0,,,,,,,,,,,,,,38.23247957,-122.3155969,,,Soil,38.23248291,-122.3155823,N,,,,A,
,Lutz,2014:09:16,,,,Tectonic,,>0.9,,,,,>10,345,,,,,,Source: Napa 2014; 2-m-wide zone of left-stepping en echelon transtensional fractures: slip vector length was 0.33 ft. along 350 bearing. Average fault strike was 345. Slip measurement is minimum value.,43,,,,,,,,,RL,43.0,,,,,,,,,,,,,,38.23255015,-122.3156152,,,Soil,38.23254776,-122.3155975,Y,,,,A,
,Lutz,2014:09:16,,,,Tectonic,,>1.1,,,,,>12.7,345,,,,,,Source: Napa 2014; 2-m-wide zone of left-stepping en echelon transtensional fractures: slip vector length was 0.42 ft. along 350 bearing. Average fault strike was 345. Slip measurement is minimum value.,44,,,,,,,,,RL,44.0,,,,,,,,,,,,,,38.23261222,-122.3156166,,,Soil,38.23261261,-122.3155975,Y,,,,A,
,Lutz,2014:09:16,,,,Tectonic,,>1.1,,,,,>12.7,345,,,,,,Source: Napa 2014; 2-m-wide zone of left-stepping en echelon transtensional fractures: slip vector length was 0.42 ft. along 350 bearing. Average fault strike was 345. Slip measurement is minimum value.,45,,,,,,,,,RL,45.0,,,,,,,,,,,,,,38.2327443,-122.3157115,,,Soil,38.23274612,-122.3156967,Y,,,,A,
,Dawson,2014:08:25,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,46,,,,,,,,,,46.0,,,,,,,,,,,,,,38.23421316,-122.3164277,,,Soil,38.23421097,-122.3164139,Y,,,,A,
,Delattre,2014:08:24,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; Las Amigas Road looking north.,47,,,,,,,,,RL,47.0,,,,,,,,,,,,,,38.23423222,-122.3164232,,,Pavement,38.23400116,-122.3170013,Y,,,,A,
,Morelan/Trexler,2014:08:24,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; Site name: las_amigas - Measurement: None - Measurement azimuth: None - Feature azimuth: 20 - Displacement sense: None.,48,,,,,,,,,,48.0,,,,,,,,,,"Morelan, A., Trexler, C., and Oskin, M., 2015, Surface-Rupture and Slip Observations on the Day of the 24 August 2014 South Napa Earthquake: Seismological Research Letters, v. 86, no. 4, p. 1119-1127; supplemental materials are also available online at: https://ucdavis.app.box.com/s/9zsz84638fp90grhikzx",,,,38.23428344,-122.3164058,,,Pavement,38.23427963,-122.3164673,Y,,,,A,
,Lancaster/Pridmore,2014:08:24,,,,Tectonic,,,,,,,2-3*,,,,,,,Source: Napa 2014; Fault rupture through road. Apparent 2-3 cm right-lateral offset.,49,,,,,,,,,RL,49.0,,,,,,,,,,,,,,38.23428344,-122.3164058,,,Pavement,38.234272,-122.3164215,N,,,,A,
,Dawson/Davenport,2014:08:24,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,50,,,,,,,,,,50.0,,,,,,,,,,,,,,38.23428946,-122.316465,,,Pavement,38.23437881,-122.3164902,Y,,,,A,
,Dawson,2014:08:25,,,,Tectonic,,,,,,,7*,201,,,,,,"Source: Napa 2014; 7 cm right-lateral oriented 201 degrees. North side of Las Amigas Road. Asphalt sinking, looks like more after slip.",51,,,,,,,,,RL,51.0,,,,,,,,,,,,,,38.23428946,-122.316465,,,Pavement,38.23431396,-122.3165054,Y,,,,A,
,Zaccone,2014:09:01,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; Las Amigas Road.,52,,,,,,,,,,52.0,,,,,,,,,,,,,,38.23428946,-122.316465,,,Pavement,38.23419952,-122.3166656,Y,,,,A,
,Morelan/Trexler,2014:08:24,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,53,,,,,,,,,,53.0,,,,,,,,,,"Morelan, A., Trexler, C., and Oskin, M., 2015, Surface-Rupture and Slip Observations on the Day of the 24 August 2014 South Napa Earthquake: Seismological Research Letters, v. 86, no. 4, p. 1119-1127; supplemental materials are also available online at: https://ucdavis.app.box.com/s/9zsz84638fp90grhikzx",,,,38.24163588,-122.3199771,,,Soil,38.24162674,-122.3199615,Y,,,,A,
,Morelan/Trexler,2014:08:25,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,54,,,,,,,,,,54.0,,,,,,,,,,"Morelan, A., Trexler, C., and Oskin, M., 2015, Surface-Rupture and Slip Observations on the Day of the 24 August 2014 South Napa Earthquake: Seismological Research Letters, v. 86, no. 4, p. 1119-1127; supplemental materials are also available online at: https://ucdavis.app.box.com/s/9zsz84638fp90grhikzx",,,,38.24163588,-122.3199771,,,Soil,38.24162674,-122.3199615,Y,,,,A,
,Zaccone,2014:09:01,,,,Tectonic,,,,,,,,,,,,,,"Source: Napa 2014; Vineyard, South Ave.",55,,,,,,,,,,55.0,,,,,,,,,,,,,,38.24163588,-122.3199771,,,Soil,38.24169922,-122.3200836,Y,,,,A,
,Dawson/Davenport,2014:08:24,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,56,,,,,,,,,,56.0,,,,,,,,,,,,,,38.24174166,-122.3200279,,,Soil,38.24173355,-122.320015,Y,,,,A,
,Dawson,2014:08:25,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,57,,,,,,,,,,57.0,,,,,,,,,,,,,,38.24174617,-122.3200435,,,Soil,38.24174118,-122.3200302,Y,,,,A,
,Morelan/Trexler,2014:08:25,,,,Tectonic,,,,,,,16*,340,,,,,,Source: Napa 2014; Site: south - Other measurements in asphalt possible. Slip increased from 13 to 16 cm from Sunday to Monday along 340.,58,,,,,,,,,RL,58.0,,,,,,,,,,"Morelan, A., Trexler, C., and Oskin, M., 2015, Surface-Rupture and Slip Observations on the Day of the 24 August 2014 South Napa Earthquake: Seismological Research Letters, v. 86, no. 4, p. 1119-1127; supplemental materials are also available online at: https://ucdavis.app.box.com/s/9zsz84638fp90grhikzx",,,,38.24175342,-122.3200456,,,Pavement,38.24178696,-122.3200455,Y,,,,A,
,Morelan/Trexler,2014:08:24,,,,Tectonic,,,,,,,13*,340,,,,,,"Source: Napa 2014; Site: south - Measurement: 21 cm - Measurement azimuth: 320 - Feature azimuth: None - Displacement sense: RL. Compiler note: 21 cm and 320 degree azimuth comes from original spreadsheet provided by observers. Published measurement on 8/24 (Morelan and others, 2015) is 13 cm on trend 340. Notes from original spreadsheet say slip increased from 13 cm to 16 cm on 8/25 on trend 340.",59,,,,,,,,,RL,59.0,,,,,,,,,,"Morelan, A., Trexler, C., and Oskin, M., 2015, Surface-Rupture and Slip Observations on the Day of the 24 August 2014 South Napa Earthquake: Seismological Research Letters, v. 86, no. 4, p. 1119-1127; supplemental materials are also available online at: https://ucdavis.app.box.com/s/9zsz84638fp90grhikzx",,,,38.2417805,-122.3200435,,,Pavement,38.24177933,-122.3200607,Y,,,,A,
,Dawson,2014:08:25,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,60,,,,,,,,,,60.0,,,,,,,,,,,,,,38.2417805,-122.3200435,,,Pavement,38.24177551,-122.3200302,Y,,,,A,
,Dawson/Davenport,2014:08:24,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,61,,,,,,,,,,61.0,,,,,,,,,,,,,,38.24179958,-122.3200664,,,Pavement,38.24179459,-122.3200531,Y,,,,A,
,Dawson,2014:08:25,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,62,,,,,,,,,,62.0,,,,,,,,,,,,,,38.24179958,-122.3200664,,,Pavement,38.24173737,-122.3201141,Y,,,,A,
,Dawson,2014:08:25,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,63,,,,,,,,,,63.0,,,,,,,,,,,,,,38.24182246,-122.3200816,,,Pavement,38.24181747,-122.3200684,Y,,,,A,
,Delattre,2014:08:24,,,,Tectonic,,10*,,,,,,,,,,,,Source: Napa 2014; South Avenue; view southward; Approx. 10 cm separation.,64,,,,,,,,,,64.0,,,,,,,,,,,,,,38.24183323,-122.320109,,,Pavement,38.24629974,-122.3188019,Y,,,,A,
,Dawson/Davenport,2014:08:24,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,65,,,,,,,,,,65.0,,,,,,,,,,,,,,38.24196259,-122.3201767,,,Soil,38.24195862,-122.3201599,Y,,,,A,
,Zaccone,2014:09:01,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; Los Carneros Ave. by school.,66,,,,,,,,,,66.0,,,,,,,,,,,,,,38.24303154,-122.3207713,,,Pavement,38.24295044,-122.3207474,Y,,,,A,
,Morelan/Trexler,2014:08:24,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,67,,,,,,,,,,67.0,,,,,,,,,,"Morelan, A., Trexler, C., and Oskin, M., 2015, Surface-Rupture and Slip Observations on the Day of the 24 August 2014 South Napa Earthquake: Seismological Research Letters, v. 86, no. 4, p. 1119-1127; supplemental materials are also available online at: https://ucdavis.app.box.com/s/9zsz84638fp90grhikzx",,,,38.24314616,-122.3208369,,,Pavement,38.24314117,-122.3208237,Y,,,,A,
,Delattre,2014:08:24,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,68,,,,,,,,,RL,68.0,,,,,,,,,,,,,,38.24314616,-122.3208369,,,Pavement,38.24319839,-122.3208008,Y,,,,A,
,Dawson/Davenport,2014:08:24,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,69,,,,,,,,,,69.0,,,,,,,,,,"Dawson, T., Kelson, K., Wesling, J., Hudnut, K. and Ponti, D., 2014, Surface fault rupture associated with the M 6.0 South Napa earthquake of August 24, 2014, in August 24, 2014 South Napa, California Earthquake, section 3: GEER Association Rept. No. GEER-037.",,,,38.24314616,-122.3208369,,,Pavement,38.24314117,-122.3208237,Y,,,,A,
,Lancaster/Pridmore,2014:08:24,,,,Tectonic,,,,,,,7*,,,,,,,"Source: Napa 2014; Fault rupture through road, offset about 7 cm.",70,,,,,,,,,RL,70.0,,,,,,,,,,,,,,38.24314616,-122.3208369,,,Pavement,38.24338913,-122.3210449,Y,,,,A,
,Dawson,2014:08:25,,,,Tectonic,,,,,,,10-13*,,,,,,,Source: Napa 2014; 10-13 cm. Los Carneros Road near school.,71,,,,,,,,,RL,71.0,,,,,,,,,,,,,,38.24314616,-122.3208369,,,Pavement,38.24320221,-122.3207092,Y,,,,A,
,Morelan/Trexler,2014:08:25,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,72,,,,,,,,,,72.0,,,,,,,,,,"Morelan, A., Trexler, C., and Oskin, M., 2015, Surface-Rupture and Slip Observations on the Day of the 24 August 2014 South Napa Earthquake: Seismological Research Letters, v. 86, no. 4, p. 1119-1127; supplemental materials are also available online at: https://ucdavis.app.box.com/s/9zsz84638fp90grhikzx",,,,38.24314616,-122.3208369,,,Pavement,38.24314117,-122.3208237,Y,,,,A,
,Lutz,2014:08:30,,,,Tectonic,,,,,,,>3.9,345,,,,,,Source: Napa 2014; 6-m-wide zone of right-stepping en echelon transpressional furrows in tarmac with left-stepping open fractures along crests: slip vector length was 0.15 ft. along 313 bearing. Average fault strike was 345. Slip measurement is minimum value.,73,,,,,,,,,RL,73.0,,,,,,,,,,,>2.4,,,38.24314616,-122.3208369,,,Pavement,38.24326706,-122.3209,N,,,,A,
,Lancaster/Pridmore,2014:08:24,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,74,,,,,,,,,,74.0,,,,,,,,,,,,,,38.24318996,-122.3209139,,,Soil,38.24315643,-122.3208923,Y,,,,A,
,Dawson,2014:08:25,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,75,,,,,,,,,,75.0,,,,,,,,,,,,,,38.24319957,-122.3208217,,,Pavement,38.24319458,-122.3208084,Y,,,,A,
,Dawson/Davenport,2014:08:24,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,76,,,,,,,,,,76.0,,,,,,,,,,,,,,38.24345079,-122.3210195,,,Soil,38.24344635,-122.3210068,Y,,,,A,
,Morelan/Trexler,2014:08:24,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,77,,,,,,,,,,77.0,,,,,,,,,,"Morelan, A., Trexler, C., and Oskin, M., 2015, Surface-Rupture and Slip Observations on the Day of the 24 August 2014 South Napa Earthquake: Seismological Research Letters, v. 86, no. 4, p. 1119-1127; supplemental materials are also available online at: https://ucdavis.app.box.com/s/9zsz84638fp90grhikzx",,,,38.24349711,-122.3210336,,,Soil,38.24350739,-122.3210602,Y,,,,A,
,Lancaster/Pridmore,2014:08:24,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; nan,78,,,,,,,,,,78.0,,,,,,,,,,,,,,38.24349711,-122.3210336,,,Soil,38.2435112,-122.3210449,Y,,,,A,
